URL : https://github.com/mathieusaade/universal-wiki-converter

Tag : 4.0.0

Analysis date : 13/09/2016 15:00

Eclipse version : Luna 4.4.1

Summary (# items / category)
*  231    Potential Porgramming Problems
*   20    Name Shadowing and Conflicts
* 1335    Code Style
*   82    Deprecation
*  711    Type Safety and Raw Types
*  909    Unnecessary Code

Category : Potential Programming Problems
    Description	Resource	Path	Location	Type
    The enum constant WIKITYPE needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    Potential null pointer access: The variable actual may be null at this location	ConverterEngineTest.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 138	Java Problem
    Potential null pointer access: The variable actual may be null at this location	ConverterEngineTest.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 184	Java Problem
    Potential null pointer access: The variable actual may be null at this location	UWCGuiModelTest.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 94	Java Problem
    Potential null pointer access: The variable actual may be null at this location	UWCGuiModelTest.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 143	Java Problem
    Potential null pointer access: The variable actual may be null at this location	UWCUserSettingsTest.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 58	Java Problem
    Potential null pointer access: The variable converter may be null at this location	ConverterEngineTest.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 122	Java Problem
    Potential null pointer access: The variable exporterClass may be null at this location	ChooseExporterForm.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 84	Java Problem
    Potential null pointer access: The variable exporterClass may be null at this location	UWCCommandLineInterface.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 94	Java Problem
    Potential null pointer access: The variable exporterProperties may be null at this location	ChooseExporterForm.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 74	Java Problem
    Potential null pointer access: The variable exporterProperties may be null at this location	UWCCommandLineInterface.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 83	Java Problem
    Potential null pointer access: The variable progressMonitor may be null at this location	ConverterEngine_v2.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 587	Java Problem
    Potential null pointer access: The variable progressMonitor may be null at this location	ConverterEngine_v2.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 597	Java Problem
    Resource leak: 'is' is not closed at this location	FileUtils.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 186	Java Problem
    Resource leak: 'is' is not closed at this location	XMLRPCClientTest.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 135	Java Problem
    The switch over the enum type UWCUserSettings.Setting should have a default case	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 573	Java Problem
    The switch over the enum type UWCUserSettings.Setting should have a default case	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 624	Java Problem
    The switch over the enum type UWCUserSettings.Setting should have a default case	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    Unnecessary semicolon	ConverterEngine_v2.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 80	Java Problem
    Unnecessary semicolon	FeedbackWindow.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 280	Java Problem
    Resource leak: 'br' is never closed	MoinMoinPreparation.java	/uwc/src/main/java/com/atlassian/uwc/prep	line 117	Java Problem
    Dead code	BaseHierarchy.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 65	Java Problem
    Dead code	ContentHierarchy.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 144	Java Problem
    Null comparison always yields false: The variable page cannot be null at this location	ContentHierarchy.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 144	Java Problem
    Null comparison always yields false: The variable pages cannot be null at this location	BaseHierarchy.java	/uwc/src/main/java/com/atlassian/uwc/hierarchies	line 33	Java Problem
